CLIENTNUM,First_Name,Last_Name,Email,Phone_Number,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
708790833,Anthony,Perez,anthony_perez@protonmail.com,+1-720-287-7127,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217
710821833,Stephen,Gonzalez,stephen.gonzalez@outlook.com,+1-415-820-7851,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174
710599683,Jack,Campbell,jack.campbell97@mail.com,+1-617-798-5693,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0
816082233,Kyle,Lopez,kyle_lopez@gmail.com,+1-832-828-3466,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195
712396908,Brenda,Williams,bwilliams@gmail.com,+1-786-356-9249,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279
714885258,Raymond,Harris,raymond.harris56@gmail.com,+1-202-931-8535,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23
709967358,Timothy,Roberts,timothyroberts@yahoo.com,+1-469-521-7858,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078
753327333,Edward,Johnson,edward981@hotmail.com,+1-469-312-5982,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095
806160108,Henry,Miller,henry871@live.com,+1-469-307-4385,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788
709327383,Melissa,Thomas,mthomas@protonmail.com,+1-404-401-9255,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08
806165208,Joshua,Hill,joshua.hill@outlook.com,+1-312-248-2861,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086
708508758,Amy,Wright,amy.wright78@yahoo.com,+1-619-793-8118,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0
784725333,Ronald,Adams,ronald_adams@hotmail.com,+1-213-717-8282,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152
811604133,Katherine,Jones,kjones@yahoo.com,+1-720-898-1021,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626
789124683,Paul,Wilson,paul.wilson@hotmail.com,+1-404-330-3128,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0
771071958,Kathleen,Parker,kparker@hotmail.com,+1-786-236-4487,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215
720466383,Ryan,Jackson,ryan_jackson@hotmail.com,+1-617-531-4624,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093
804424383,Mark,Rivera,mrivera@protonmail.com,+1-704-254-3471,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099
718813833,Elizabeth,Thompson,elizabetht@gmail.com,+1-213-566-9229,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0
806624208,James,Mitchell,jamesm@live.com,+1-617-366-1539,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285
778348233,Samuel,Thomas,samuel.thomas7@msn.com,+1-650-878-3313,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658
712991808,Jose,Carter,josec@live.com,+1-312-435-9020,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69
709029408,Zachary,Davis,zachary.davis@live.com,+1-713-472-1799,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282
788658483,Margaret,Flores,margaret562@outlook.com,+1-310-902-2480,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562
787937058,Steven,Parker,steven_parker@msn.com,+1-512-360-2312,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135
715318008,Stephanie,Cook,stephanie.cook@mail.com,+1-650-559-9566,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544
713962233,Amy,Young,amy697@icloud.com,+1-704-654-7679,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757
785432733,Michelle,Scott,michellescott@yahoo.com,+1-619-674-9652,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0
715190283,Joyce,Anderson,joyce659@gmail.com,+1-650-746-4428,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241
708300483,Diane,Jackson,diane.jackson95@icloud.com,+1-469-688-6573,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077
827111283,Kevin,Mitchell,kevin.mitchell@mail.com,+1-214-689-7963,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018
758551608,Dennis,Thomas,dennist@protonmail.com,+1-415-342-1767,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355
773146383,Patricia,Sanchez,patricia688@hotmail.com,+1-720-964-8067,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145
778493808,Charles,Nelson,charles.nelson@msn.com,+1-617-449-4021,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0
720572508,Janet,Jones,janetjones@msn.com,+1-212-216-6797,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209
712661433,Paul,Scott,paul742@mail.com,+1-310-492-9762,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0
789172683,Daniel,Rivera,drivera@msn.com,+1-720-707-8755,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626
738406533,Paul,Smith,paul.smith67@live.com,+1-619-736-3837,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793
799723908,Peter,Cook,peter_cook@aol.com,+1-212-653-9391,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074
771490833,Nicholas,Gonzalez,nicholas.gonzalez47@outlook.com,+1-512-589-7399,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259
720756708,Margaret,Nelson,margaretn@gmail.com,+1-704-983-6557,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591
779471883,Joyce,Scott,joyce_scott@live.com,+1-212-731-9796,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562
711525033,Shirley,Hill,shirleyh@protonmail.com,+1-415-671-8915,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687
712813458,Jerry,Nguyen,jerrynguyen@hotmail.com,+1-404-863-5435,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127
714374133,Timothy,Wright,twright@gmail.com,+1-704-761-9710,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0
717891558,Sharon,Campbell,sharoncampbell@hotmail.com,+1-786-984-8595,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667
716632758,Christine,Hill,chill@live.com,+1-713-949-8428,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843
768563658,Samuel,Rivera,samuelr@live.com,+1-713-809-8696,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422
711427458,Victoria,Phillips,victoria_phillips@yahoo.com,+1-415-473-9007,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156
714091983,Jerry,Perez,jerryp@msn.com,+1-786-683-1953,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525
787584108,Larry,Torres,larryt@live.com,+1-512-504-5072,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587
712030833,Matthew,Cook,matthew.cook29@hotmail.com,+1-404-338-8048,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0
711481533,Alexander,Flores,alexander.flores@msn.com,+1-713-908-4735,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211
710082708,Patrick,Lopez,patrick_lopez@hotmail.com,+1-512-849-5956,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088
708155733,Benjamin,Thompson,benjamin.thompson@outlook.com,+1-212-728-7166,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111
788979258,Tyler,Perez,tylerp@aol.com,+1-214-353-8043,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044
807986133,William,Collins,william.collins@gmail.com,+1-202-280-8986,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276
788730933,Mary,Edwards,maryedwards@gmail.com,+1-720-931-7712,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704
711314058,Steven,Garcia,stevengarcia@msn.com,+1-619-383-9298,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656
717975333,Andrew,Harris,aharris@msn.com,+1-720-301-3870,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053
715971108,Donald,White,dwhite@protonmail.com,+1-702-970-2029,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051
720096558,Julie,Wright,juliewright@outlook.com,+1-713-319-9104,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467
719580033,Aaron,Nguyen,aaron994@hotmail.com,+1-832-732-8816,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698
820582308,Daniel,Adams,daniel.adams59@aol.com,+1-832-205-1541,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067
789973308,Timothy,Lee,timothy_lee@mail.com,+1-310-434-6556,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079
712876233,Mark,Walker,mark.walker@live.com,+1-214-282-8830,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287
804595158,Christine,Walker,christine.walker36@aol.com,+1-512-639-4840,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36
714826758,Susan,Miller,susan.miller@hotmail.com,+1-702-586-8386,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256
779058108,Scott,Sanchez,ssanchez@protonmail.com,+1-713-353-6721,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719
710790258,Adam,Parker,adam_parker@icloud.com,+1-832-757-5953,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066
715623483,Douglas,Mitchell,douglas.mitchell77@mail.com,+1-650-943-8021,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198
715156383,Edward,Jones,edward.jones@mail.com,+1-312-386-2872,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044
711013983,Olivia,Turner,olivia_turner@protonmail.com,+1-619-269-1559,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0
755420433,Donna,Hernandez,donnahernandez@live.com,+1-214-974-7025,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14
794543958,Eric,Roberts,ericr@mail.com,+1-312-294-8239,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035
716396358,Gary,Campbell,gary.campbell@aol.com,+1-512-230-3862,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619
715398033,Eric,Evans,eric_evans@aol.com,+1-619-354-6325,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108
711743883,Anna,Phillips,anna.phillips52@protonmail.com,+1-214-308-4039,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0
719720058,Brandon,Robinson,brandonr@protonmail.com,+1-617-712-4380,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066
778992108,David,Walker,david_walker@aol.com,+1-704-453-4001,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0
717539808,Joyce,Hill,joyce.hill69@hotmail.com,+1-404-648-7602,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0
714070758,Michael,Morris,michaelm@aol.com,+1-720-345-3892,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062
714107958,John,Smith,johnsmith@mail.com,+1-818-440-4080,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0
789140283,Charles,Miller,charles_miller@outlook.com,+1-415-428-2859,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765
715550508,Sandra,Flores,sflores@icloud.com,+1-650-527-4869,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963
719712633,Jerry,Parker,jerryparker@aol.com,+1-310-968-1049,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524
772629333,Justin,Evans,jevans@msn.com,+1-704-790-5178,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347
720336708,Thomas,Walker,thomas.walker59@hotmail.com,+1-212-884-6508,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45
802013583,Richard,Davis,richard387@aol.com,+1-617-475-8156,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232
711887583,Kevin,Jones,kevin_jones@msn.com,+1-720-369-7844,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299
714778833,Anna,Young,anna_young@msn.com,+1-415-821-8927,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085
713843283,Jennifer,Turner,jenniferturner@mail.com,+1-310-383-5231,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059
779155158,Joshua,Davis,jdavis@msn.com,+1-202-848-7711,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43
721091583,Angela,Johnson,angela351@live.com,+1-415-898-6975,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62
713572683,Jason,Ramirez,jramirez@gmail.com,+1-202-998-1874,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0
716657058,Catherine,Murphy,catherine_murphy@aol.com,+1-650-798-1717,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111
779509983,James,Harris,james_harris@aol.com,+1-214-608-5738,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027
717929133,Andrew,Thomas,andrew.thomas@msn.com,+1-619-728-4347,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169
808284783,Nancy,Evans,nancy.evans2@yahoo.com,+1-650-675-5050,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0
708476808,Tyler,Torres,tyler741@icloud.com,+1-214-707-2021,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.824,0.058
710916408,Kevin,Lee,klee@yahoo.com,+1-310-693-9018,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223
708492558,Andrew,Rodriguez,andrew.rodriguez@outlook.com,+1-310-361-5554,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057
799825758,John,Williams,john.williams71@hotmail.com,+1-404-599-4959,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513
718619883,Deborah,Robinson,deborahrobinson@aol.com,+1-512-370-9205,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473
711844758,Edward,Campbell,edwardcampbell@protonmail.com,+1-818-577-5115,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056,0.095
714798783,Tyler,Turner,tturner@hotmail.com,+1-713-428-3476,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895,17991.0,1.826,1235,18,1.571,0.047
826762908,Andrew,Rodriguez,andrewrodriguez@aol.com,+1-214-877-1332,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.118,0.106
771894558,Kevin,Nelson,kevin.nelson@mail.com,+1-713-519-6918,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559,8405.0,1.873,1626,25,0.786,0.156
721074183,George,Ramirez,gramirez@gmail.com,+1-650-845-1775,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0,1196,22963.0,0.712,1111,24,1.0,0.05
715259583,Sandra,Lopez,sandra_lopez@protonmail.com,+1-786-743-2659,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355
718414008,Jeffrey,Harris,jeffrey.harris@icloud.com,+1-404-486-6112,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0,1023,33493.0,1.004,1064,13,0.625,0.03
719666283,Betty,Rodriguez,brodriguez@protonmail.com,+1-469-405-5994,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611,0.615
714877233,John,Edwards,john.edwards@aol.com,+1-713-533-8211,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.533,0.15
785387883,Amanda,Collins,amandacollins@gmail.com,+1-213-924-3541,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407
771075258,Peter,Martinez,peterm@icloud.com,+1-713-745-5799,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516.0,1527,32989.0,0.526,1268,42,0.355,0.044
711318033,Joshua,Sanchez,joshuas@gmail.com,+1-213-945-4205,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0
783554958,Steven,Hall,steven.hall@gmail.com,+1-469-852-6613,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0,0,32090.0,0.567,1368,30,0.364,0.0
720201033,Ronald,Smith,ronald698@icloud.com,+1-512-497-2840,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191
718039683,Kyle,White,kylewhite@hotmail.com,+1-404-861-4872,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.417,0.096
