CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Churn,Email
710821833,Existing Customer,65,1,1,6,1,1,0,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0,customer_710821833@example.com
710599683,Existing Customer,56,1,1,0,2,3,0,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0,customer_710599683@example.com
816082233,Existing Customer,35,1,3,2,3,2,0,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0,customer_816082233@example.com
712396908,Existing Customer,57,0,2,2,1,4,0,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0,customer_712396908@example.com
714885258,Existing Customer,44,1,4,6,3,3,0,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0,customer_714885258@example.com
709967358,Existing Customer,48,1,4,4,2,3,0,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0,customer_709967358@example.com
753327333,Existing Customer,41,1,3,6,1,3,0,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0,customer_753327333@example.com
806160108,Existing Customer,61,1,1,3,1,1,0,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0,customer_806160108@example.com
709327383,Existing Customer,45,0,2,2,1,5,0,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0,customer_709327383@example.com
806165208,Existing Customer,47,1,1,1,0,2,0,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0,customer_806165208@example.com
708508758,Attrited Customer,62,0,0,2,1,4,0,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,1,customer_708508758@example.com
784725333,Existing Customer,41,1,3,3,1,1,0,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0,customer_784725333@example.com
811604133,Existing Customer,47,0,4,6,2,4,0,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,customer_811604133@example.com
789124683,Existing Customer,54,1,2,6,1,3,0,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0,customer_789124683@example.com
771071958,Existing Customer,41,0,3,2,2,4,0,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0,customer_771071958@example.com
720466383,Existing Customer,59,1,1,3,3,1,0,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,0,customer_720466383@example.com
804424383,Existing Customer,63,1,1,6,1,2,0,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0,customer_804424383@example.com
718813833,Existing Customer,44,0,3,5,2,5,0,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0,customer_718813833@example.com
806624208,Existing Customer,47,1,4,3,1,1,0,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,0,customer_806624208@example.com
778348233,Existing Customer,53,1,3,6,1,3,0,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0,customer_778348233@example.com
712991808,Existing Customer,53,1,2,5,1,2,0,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0,customer_712991808@example.com
709029408,Existing Customer,41,1,4,2,1,2,0,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0,customer_709029408@example.com
788658483,Existing Customer,53,0,2,0,1,4,0,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0,customer_788658483@example.com
787937058,Existing Customer,58,1,0,2,1,3,0,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0,customer_787937058@example.com
715318008,Existing Customer,55,0,1,0,2,4,0,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0,customer_715318008@example.com
713962233,Existing Customer,55,0,3,2,1,4,0,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0,customer_713962233@example.com
785432733,Existing Customer,42,0,4,3,1,4,1,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0,customer_785432733@example.com
715190283,Existing Customer,57,0,1,2,3,1,0,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0,customer_715190283@example.com
708300483,Attrited Customer,66,0,0,1,1,5,0,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,1,customer_708300483@example.com
827111283,Existing Customer,45,1,3,2,2,3,0,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0,customer_827111283@example.com
758551608,Existing Customer,51,1,2,6,1,1,0,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,0,customer_758551608@example.com
773146383,Existing Customer,50,0,1,0,2,1,3,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0,customer_773146383@example.com
778493808,Existing Customer,49,1,3,3,1,2,0,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,0,customer_778493808@example.com
720572508,Existing Customer,38,0,4,2,2,5,0,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0,customer_720572508@example.com
712661433,Existing Customer,49,1,4,5,2,3,0,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0,customer_712661433@example.com
789172683,Existing Customer,56,1,2,1,1,2,0,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,0,customer_789172683@example.com
738406533,Existing Customer,59,1,1,1,1,1,0,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0,customer_738406533@example.com
799723908,Existing Customer,46,1,3,3,1,3,0,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0,customer_799723908@example.com
771490833,Existing Customer,52,1,1,0,2,3,0,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,0,customer_771490833@example.com
720756708,Existing Customer,52,0,3,6,1,4,0,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0,customer_720756708@example.com
779471883,Attrited Customer,54,0,1,2,1,4,0,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,1,customer_779471883@example.com
711525033,Existing Customer,66,0,0,3,1,4,0,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0,customer_711525033@example.com
712813458,Existing Customer,49,1,2,6,1,0,0,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,0,customer_712813458@example.com
714374133,Attrited Customer,56,1,2,2,1,0,0,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,1,customer_714374133@example.com
717891558,Existing Customer,49,0,4,2,3,4,0,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0,customer_717891558@example.com
716632758,Existing Customer,49,0,3,2,2,4,0,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0,customer_716632758@example.com
768563658,Existing Customer,56,1,2,5,1,1,0,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0,customer_768563658@example.com
711427458,Existing Customer,44,0,5,2,1,5,0,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0,customer_711427458@example.com
714091983,Existing Customer,42,1,2,3,2,2,0,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0,customer_714091983@example.com
787584108,Existing Customer,55,1,3,6,1,3,0,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0,customer_787584108@example.com
712030833,Attrited Customer,48,1,2,2,1,2,3,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,1,customer_712030833@example.com
711481533,Existing Customer,39,1,1,3,0,2,0,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0,customer_711481533@example.com
710082708,Existing Customer,44,1,4,4,2,0,0,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0,customer_710082708@example.com
708155733,Existing Customer,53,1,2,3,2,0,0,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0,customer_708155733@example.com
788979258,Existing Customer,51,1,4,5,2,3,3,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0,customer_788979258@example.com
807986133,Existing Customer,57,1,2,0,1,2,0,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0,customer_807986133@example.com
788730933,Existing Customer,44,0,2,5,2,4,0,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0,customer_788730933@example.com
711314058,Existing Customer,49,1,2,2,1,2,0,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,0,customer_711314058@example.com
717975333,Existing Customer,50,1,2,1,1,3,0,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0,customer_717975333@example.com
715971108,Existing Customer,51,1,4,2,2,0,0,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0,customer_715971108@example.com
720096558,Existing Customer,55,0,2,2,1,4,0,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,0,customer_720096558@example.com
719580033,Existing Customer,54,1,1,2,3,2,0,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0,customer_719580033@example.com
820582308,Existing Customer,42,1,5,5,1,3,0,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0,customer_820582308@example.com
789973308,Existing Customer,44,1,1,0,2,2,0,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,0,customer_789973308@example.com
712876233,Existing Customer,53,1,2,2,2,3,0,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0,customer_712876233@example.com
804595158,Existing Customer,44,0,4,2,2,4,0,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0,customer_804595158@example.com
714826758,Existing Customer,37,0,3,5,2,4,0,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,0,customer_714826758@example.com
779058108,Existing Customer,49,1,3,2,0,2,0,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,0,customer_779058108@example.com
710790258,Existing Customer,47,1,2,2,1,3,0,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0,customer_710790258@example.com
715623483,Existing Customer,47,1,3,2,1,2,0,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,0,customer_715623483@example.com
715156383,Existing Customer,44,1,1,6,3,0,0,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,0,customer_715156383@example.com
711013983,Attrited Customer,55,0,4,6,1,1,0,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,1,customer_711013983@example.com
755420433,Existing Customer,59,0,1,2,1,5,0,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0,customer_755420433@example.com
794543958,Existing Customer,53,1,1,2,0,3,0,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0,customer_794543958@example.com
716396358,Existing Customer,52,1,2,2,1,2,0,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,0,customer_716396358@example.com
715398033,Existing Customer,53,1,2,3,2,0,0,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,0,customer_715398033@example.com
711743883,Existing Customer,43,0,3,5,2,4,0,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0,customer_711743883@example.com
719720058,Existing Customer,44,1,3,3,2,2,0,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0,customer_719720058@example.com
778992108,Existing Customer,57,1,2,6,1,0,0,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0,customer_778992108@example.com
717539808,Existing Customer,51,0,2,3,2,4,0,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,0,customer_717539808@example.com
714070758,Existing Customer,49,1,4,3,2,3,0,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,0,customer_714070758@example.com
714107958,Existing Customer,45,1,1,2,2,1,0,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,0,customer_714107958@example.com
789140283,Existing Customer,53,1,0,2,2,3,0,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,0,customer_789140283@example.com
715550508,Existing Customer,45,0,3,6,1,5,0,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,0,customer_715550508@example.com
719712633,Existing Customer,64,1,1,2,1,4,0,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,0,customer_719712633@example.com
772629333,Existing Customer,45,1,3,2,1,1,0,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,0,customer_772629333@example.com
720336708,Existing Customer,53,1,3,1,1,1,0,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,0,customer_720336708@example.com
802013583,Existing Customer,56,1,3,0,1,0,0,50,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232,0,customer_802013583@example.com
711887583,Attrited Customer,47,1,2,6,1,3,0,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,1,customer_711887583@example.com
714778833,Existing Customer,49,0,3,0,2,5,0,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,0,customer_714778833@example.com
713843283,Existing Customer,41,0,3,6,1,5,3,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,0,customer_713843283@example.com
779155158,Existing Customer,53,1,3,2,1,0,0,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,0,customer_779155158@example.com
721091583,Existing Customer,44,0,2,2,2,4,0,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,0,customer_721091583@example.com
713572683,Existing Customer,44,1,3,3,3,2,0,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,0,customer_713572683@example.com
716657058,Existing Customer,43,0,4,4,1,4,0,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,0,customer_716657058@example.com
779509983,Existing Customer,53,1,2,4,2,0,0,36,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027,0,customer_779509983@example.com
717929133,Existing Customer,44,1,1,5,1,2,0,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,0,customer_717929133@example.com
808284783,Existing Customer,62,0,1,6,1,4,0,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,0,customer_808284783@example.com
708476808,Existing Customer,54,1,4,6,0,0,0,36,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.824,0.058,0,customer_708476808@example.com
710916408,Existing Customer,57,1,4,2,1,2,0,39,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223,0,customer_710916408@example.com
708492558,Existing Customer,42,1,3,6,1,2,0,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,0,customer_708492558@example.com
799825758,Existing Customer,42,1,4,3,0,2,0,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513,0,customer_799825758@example.com
718619883,Existing Customer,54,0,0,5,1,4,0,36,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473,0,customer_718619883@example.com
711844758,Existing Customer,48,1,3,2,2,3,0,35,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056,0.095,0,customer_711844758@example.com
714798783,Existing Customer,49,1,1,2,2,3,0,36,6,2,2,18886.0,895,17991.0,1.826,1235,18,1.571,0.047,0,customer_714798783@example.com
826762908,Existing Customer,52,1,3,3,3,3,0,48,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.118,0.106,0,customer_826762908@example.com
771894558,Existing Customer,50,1,3,3,2,3,0,39,4,1,4,9964.0,1559,8405.0,1.873,1626,25,0.786,0.156,0,customer_771894558@example.com
721074183,Existing Customer,49,1,1,1,1,2,0,36,4,6,3,24159.0,1196,22963.0,0.712,1111,24,1.0,0.05,0,customer_721074183@example.com
715259583,Existing Customer,53,0,2,3,1,4,0,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,0,customer_715259583@example.com
718414008,Existing Customer,50,1,2,2,2,0,0,36,3,2,2,34516.0,1023,33493.0,1.004,1064,13,0.625,0.03,0,customer_718414008@example.com
719666283,Existing Customer,55,0,1,1,1,4,0,36,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611,0.615,0,customer_719666283@example.com
714877233,Existing Customer,53,1,1,3,1,3,0,47,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.533,0.15,0,customer_714877233@example.com
785387883,Existing Customer,47,0,3,3,2,1,0,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,0,customer_785387883@example.com
771075258,Existing Customer,55,1,2,0,2,0,3,42,2,3,2,34516.0,1527,32989.0,0.526,1268,42,0.355,0.044,0,customer_771075258@example.com
711318033,Existing Customer,47,1,3,2,2,2,0,36,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0,0,customer_711318033@example.com
783554958,Existing Customer,58,1,4,2,2,0,0,52,6,1,0,32090.0,0,32090.0,0.567,1368,30,0.364,0.0,0,customer_783554958@example.com
720201033,Attrited Customer,53,1,2,2,1,3,0,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,1,customer_720201033@example.com
718039683,Existing Customer,52,1,2,3,2,1,0,45,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.417,0.096,0,customer_718039683@example.com
710806083,Existing Customer,50,0,1,5,3,4,3,36,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765,0.176,0,customer_710806083@example.com
714752208,Existing Customer,42,0,1,2,1,4,0,36,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778,0.83,0,customer_714752208@example.com
822063408,Existing Customer,43,1,4,6,1,1,0,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,0,customer_822063408@example.com
714490308,Existing Customer,57,1,4,2,1,3,0,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,0,customer_714490308@example.com
713356833,Existing Customer,52,1,1,2,1,3,0,43,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7,0.678,0,customer_713356833@example.com
711402333,Existing Customer,47,1,2,1,2,4,0,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,0,customer_711402333@example.com
708296883,Existing Customer,44,0,3,2,2,1,0,38,3,1,0,11749.0,788,10961.0,0.688,1178,27,0.929,0.067,0,customer_708296883@example.com
719154483,Existing Customer,53,1,2,3,0,2,0,36,5,3,2,7753.0,2100,5653.0,0.839,991,26,0.733,0.271,0,customer_719154483@example.com
717721458,Existing Customer,45,1,4,0,0,2,0,40,5,1,0,10408.0,1186,9222.0,1.689,2560,42,1.211,0.114,0,customer_717721458@example.com
711112683,Existing Customer,63,0,1,0,1,5,0,36,6,2,3,3967.0,1568,2399.0,1.236,1657,29,1.231,0.395,0,customer_711112683@example.com
715674483,Existing Customer,39,0,2,4,2,4,0,27,4,2,2,6205.0,2517,3688.0,0.939,1204,19,0.727,0.406,0,customer_715674483@example.com
789322833,Attrited Customer,48,0,5,3,1,4,0,38,1,3,3,8025.0,0,8025.0,0.654,673,18,0.8,0.0,1,customer_789322833@example.com
789968058,Existing Customer,51,1,1,6,2,0,0,42,6,2,3,9036.0,2327,6709.0,0.649,1131,18,0.636,0.258,0,customer_789968058@example.com
709919283,Existing Customer,54,1,4,2,1,3,0,34,2,3,2,14926.0,2517,12409.0,1.996,1576,25,1.5,0.169,0,customer_709919283@example.com
718744008,Existing Customer,59,0,1,2,2,4,0,36,3,2,3,6335.0,1128,5207.0,0.397,1217,20,0.667,0.178,0,customer_718744008@example.com
767712558,Attrited Customer,59,1,1,0,2,2,0,53,2,3,3,14979.0,0,14979.0,0.71,530,10,1.0,0.0,1,customer_767712558@example.com
712950783,Attrited Customer,48,0,4,5,1,4,0,38,3,2,3,2732.0,0,2732.0,0.76,739,16,0.455,0.0,1,customer_712950783@example.com
716104983,Existing Customer,41,0,2,2,2,4,0,32,6,3,2,2250.0,2117,133.0,1.162,1617,31,2.875,0.941,0,customer_716104983@example.com
818839983,Existing Customer,55,1,2,2,1,0,0,50,3,2,0,10916.0,1536,9380.0,1.317,1592,34,1.0,0.141,0,customer_818839983@example.com
772288758,Existing Customer,47,0,4,2,1,5,0,36,4,1,3,5349.0,1228,4121.0,0.728,1343,30,1.308,0.23,0,customer_772288758@example.com
712350858,Existing Customer,41,1,2,3,1,3,0,24,4,1,3,9366.0,1104,8262.0,0.572,1303,39,0.625,0.118,0,customer_712350858@example.com
711009708,Existing Customer,40,1,3,3,2,3,0,28,5,1,0,21617.0,0,21617.0,1.047,1351,22,0.467,0.0,0,customer_711009708@example.com
712720158,Existing Customer,68,1,1,2,1,5,0,56,5,2,3,13860.0,1652,12208.0,1.255,1910,32,1.909,0.119,0,customer_712720158@example.com
712215258,Existing Customer,50,0,1,2,2,1,3,31,2,2,3,18386.0,0,18386.0,0.868,1298,22,0.571,0.0,0,customer_712215258@example.com
773827008,Existing Customer,47,1,4,5,2,2,0,41,6,2,2,2405.0,1540,865.0,0.469,1087,29,1.231,0.64,0,customer_773827008@example.com
795232683,Existing Customer,53,0,1,0,1,4,0,47,4,2,3,2154.0,930,1224.0,2.121,1439,26,1.364,0.432,0,customer_795232683@example.com
713786508,Existing Customer,42,0,5,6,1,1,0,36,3,3,3,2038.0,0,2038.0,0.786,1238,28,0.75,0.0,0,customer_713786508@example.com
713539833,Existing Customer,48,0,4,3,2,1,0,38,6,1,3,8135.0,0,8135.0,1.373,1716,29,0.812,0.0,0,customer_713539833@example.com
712454058,Existing Customer,49,1,1,1,1,0,0,38,6,1,3,9364.0,618,8746.0,0.554,1099,27,0.8,0.066,0,customer_712454058@example.com
718759833,Existing Customer,44,0,2,5,1,5,3,35,4,3,2,32643.0,0,32643.0,1.3,1058,24,2.429,0.0,0,customer_718759833@example.com
718803333,Existing Customer,43,0,4,2,0,4,0,34,2,3,1,3195.0,1954,1241.0,0.971,1285,29,0.706,0.612,0,customer_718803333@example.com
720253908,Existing Customer,56,1,0,3,1,3,0,43,5,2,1,2852.0,1024,1828.0,1.009,1651,28,1.0,0.359,0,customer_720253908@example.com
714133158,Existing Customer,59,0,1,0,2,5,0,36,2,3,3,4224.0,1305,2919.0,0.852,1152,31,0.824,0.309,0,customer_714133158@example.com
713187033,Existing Customer,46,1,1,5,1,2,0,36,3,2,2,20459.0,2071,18388.0,1.248,1767,38,2.167,0.101,0,customer_713187033@example.com
714791208,Existing Customer,47,0,4,6,0,4,0,41,6,5,3,3482.0,2114,1368.0,0.508,1039,24,0.263,0.607,0,customer_714791208@example.com
772426383,Existing Customer,50,0,4,5,1,1,0,40,5,2,3,3065.0,1570,1495.0,1.077,1130,28,1.333,0.512,0,customer_772426383@example.com
710975883,Existing Customer,51,0,3,5,1,4,0,43,3,1,2,2185.0,1761,424.0,0.682,1645,30,0.429,0.806,0,customer_710975883@example.com
714264408,Existing Customer,47,0,3,5,1,4,0,36,4,1,0,1611.0,746,865.0,0.993,1413,29,0.706,0.463,0,customer_714264408@example.com
715827858,Existing Customer,58,0,4,5,1,4,0,47,3,3,3,2822.0,2173,649.0,1.456,1218,23,2.286,0.77,0,customer_715827858@example.com
713741358,Attrited Customer,46,1,5,2,2,3,0,33,6,3,3,32975.0,2517,30458.0,0.658,597,17,0.7,0.076,1,customer_713741358@example.com
709531908,Existing Customer,53,1,3,3,1,2,0,47,5,2,2,1438.3,0,1438.3,0.776,2184,53,0.828,0.0,0,customer_709531908@example.com
716493408,Existing Customer,45,0,4,5,0,5,0,36,4,3,3,15875.0,1719,14156.0,0.86,1592,37,1.467,0.108,0,customer_716493408@example.com
714141108,Existing Customer,52,0,1,3,1,4,0,45,6,3,3,6703.0,893,5810.0,0.567,1388,28,0.75,0.133,0,customer_714141108@example.com
708953883,Attrited Customer,53,1,2,6,1,3,0,36,2,2,1,3212.0,0,3212.0,0.713,757,20,0.25,0.0,1,customer_708953883@example.com
712608783,Existing Customer,50,1,2,3,1,3,3,45,3,1,3,34516.0,1260,33256.0,0.588,1504,34,0.789,0.037,0,customer_712608783@example.com
820353558,Existing Customer,41,0,3,3,1,1,0,36,4,1,2,9797.0,1434,8363.0,0.644,1503,34,0.478,0.146,0,customer_820353558@example.com
714964758,Existing Customer,45,0,5,2,0,1,0,36,5,2,2,10400.0,1777,8623.0,0.791,1105,28,0.867,0.171,0,customer_714964758@example.com
716264358,Existing Customer,53,1,3,5,1,3,0,42,2,1,2,26792.0,1836,24956.0,1.432,2398,47,0.88,0.069,0,customer_716264358@example.com
717296808,Existing Customer,67,0,1,2,1,4,0,56,4,3,2,3006.0,2517,489.0,2.053,1661,32,1.0,0.837,0,customer_717296808@example.com
712977183,Existing Customer,57,0,2,5,2,1,3,36,6,3,0,19482.0,1072,18410.0,0.706,1421,22,1.444,0.055,0,customer_712977183@example.com
